genome,group
Staph.bead.789a,9
Staph.bead.845a,9
Staph.beads.557,9
Sta.aur.bead.27,9
Sta.aur.bead.16,9
Sta.aur.bead.58,9
Sta.aur.bead.37,9
Staph.beads.992a,9
marc.bacteremia.975.a,9
marc.bacteremia.985.a,9
marc.bacteremia.487.a,9
Staph.bead.174,9
marc.bacteremia.874.a,9
Staph.beads.297,9
Path_Reg_23,9
Staph.bead.830a,9
Staph.bead.807a,9
Staph.bead.836a,9
marc.bacteremia.810.a,9
Staph.beads.593,9
Staph.beads.516,9
Staph.beads.489,9
Staph.beads.497,9
Staph.beads.446,9
Staph.beads.349,9
Staph.beads.654,9
marc.bacteremia.875.a,10
marc.bacteremia.1174.a,11
marc.bacteremia.1187.a,11
Staph.beads.415,12
Staph.bead.155,12
Staph.beads.366,12
Staph.bead.206,12
Staph.beads.414,12
Staph.bead.142,12
marc.bacteremia.659.a,12
marc.bacteremia.672.a,12
Staph.bead.42,12
Staph.bead.764a,12
Staph.bead.41,12
Staph.bead.822a,12
Staph.bead.765a,12
Staph.beads.608,12
marc.bacteremia.1049.a,12
marc.bacteremia.1038.a,12
marc.bacteremia.1042.a,12
marc.bacteremia.1233.a,12
marc.bacteremia.1229.a,12
Path_Reg_25,12
Path_Reg_29,12
Staph.beads.474,12
marc.bacteremia.1732.a,12
marc.bacteremia.1733.a,12
marc.bacteremia.1741.a,12
Staph.beads.559,12
Staph.beads.479,12
Sta.aur.bead.30,12
Sta.aur.bead.64,12
Staph.bead.74,12
Staph.beads.911a,12
Staph.beads.341,12
Staph.beads.448,12
Staph.beads.273,12
Staph.beads.452,12
Staph.bead.241,12
Staph.beads.274,12
Staph.beads.311,12
Staph.bead.189,12
Staph.beads.310,12
Staph.beads.396,12
Staph.bead.197,12
Staph.beads.352,12
Staph.beads.351,12
Staph.bead.141,12
Staph.bead.232,12
Staph.bead.158,12
Staph.beads.386,12
Staph.beads.335,12
Staph.beads.361,12
Staph.beads.272,12
Path_Reg_38,12
Path_Reg_69,12
Staph.beads.881a,12
Staph.beads.870a,12
Staph.bead.198,12
Staph.beads.378,12
Staph.beads.319,12
Staph.beads.987a,12
Staph.beads.707,12
Staph.beads.706,12
Staph.beads.659,12
Staph.beads.652,12
Staph.bead.78,12
Staph.beads.637,12
Staph.beads.648,12
Path_Reg_56,12
Path_Reg_53,13
Path_Reg_59,13
Path_Reg_45,13
Sta.aur.bead.28,13
marc.bacteremia.972.a,13
marc.bacteremia.993.a,13
Staph.bead.856a,13
Staph.beads.734,13
